code,name,country,latitude,longitude
BQK,Brunswick Golden Isles Airport,United States,31.2588,-81.4663
YUM,Yuma International Airport,United States,32.6566,-114.6063
FLG,Flagstaff Pulliam Airport,United States,35.1393,-111.6747
EGE,Eagle County Regional Airport,United States,39.6426,-106.9176
GUC,Gunnison-Crested Butte Regional Airport,United States,38.5339,-106.9334
EYW,Key West International Airport,United States,24.5561,-81.7595
RKS,Rock Springs-Sweetwater County Airport,United States,41.5942,-109.0657
BGR,Bangor International Airport,United States,44.8074,-68.8281
ELM,Elmira/Corning Regional Airport,United States,42.1599,-76.8916
ADQ,Kodiak Airport,United States,57.7499,-152.4939
OTZ,Ralph Wien Memorial Airport,United States,66.8847,-162.5986
OTH,Southwest Oregon Regional Airport,United States,43.4171,-124.2461
STT,Cyril E. King Airport,U.S. Virgin Islands,18.3373,-64.9734
KTN,Ketchikan International Airport,United States,55.3556,-131.7111
BET,Bethel Airport,United States,60.7798,-161.8378
SJT,San Angelo Regional Airport,United States,31.3594,-100.4966
CDC,Cedar City Regional Airport,United States,37.7009,-113.0982
CEC,Del Norte County Regional Airport,United States,41.7802,-124.2365
SPS,Wichita Falls Municipal Airport,United States,33.9888,-98.4919
SCC,Deadhorse Airport,United States,70.1948,-148.4647
STX,Henry E. Rohlsen Airport,U.S. Virgin Islands,17.7019,-64.7986
OME,Nome Airport,United States,64.5122,-165.4452
MKG,Muskegon County Airport,United States,43.1681,-86.2372
WRG,Wrangell Airport,United States,56.4843,-132.3698
TYR,Tyler Pounds Regional Airport,United States,32.3537,-95.4024
BRW,Wiley Post-Will Rogers Memorial Airport,United States,71.2855,-156.7652
GGG,East Texas Regional Airport,United States,32.3836,-94.7115
PSG,Petersburg James A. Johnson Airport,United States,56.8017,-132.9453
BKG,Brookings Regional Airport,United States,44.3048,-96.8167
YAK,Yakutat Airport,United States,59.5034,-139.6602
CLL,Easterwood Airport,United States,30.5886,-96.3638
SAF,Santa Fe Regional Airport,United States,35.6171,-106.0895
CYS,Cheyenne Regional Airport,United States,41.1557,-104.8113
LWB,Greenbrier Valley Airport,United States,37.8583,-80.3994
CDV,Merle K. (Mudhole) Smith Airport,United States,60.4918,-145.4776
FLO,Florence Regional Airport,United States,34.1854,-79.7239
BLI,Bellingham International Airport,United States,48.7955,-122.5325
DBQ,Dubuque Regional Airport,United States,42.402,-90.7095
TOL,Toledo Express Airport,United States,41.5868,-83.8078
UTM,Tunica Municipal Airport,United States,34.681,-90.3467
PIE,St. Pete-Clearwater International Airport,United States,27.9102,-82.6875
ADK,Adak Airport,United States,51.8779,-176.646
ABR,Aberdeen Regional Airport,United States,45.4491,-98.4218
TEX,Telluride Regional Airport,United States,37.9538,-107.9074
MMH,Mammoth Yosemite Airport,United States,37.624,-118.845
GUM,Guam International Airport,Guam,13.4834,144.7973
